Question,Type,Image ,Camera View,Ground Truth,Response,Residual Error ,Point on Mask?,Correct ?,Notes
"Given that these pegboard holes are spaced 0.5cm apart, point to the largest peg and give its approximate pixel coordinates.",Pointing Question (largest peg),1C,Overhead,"{""label"": ""B"", ""mask_path"": ""masks/setup1_ovhd_view_label_B_mask.png"", ""physical_xy_coordinates"": [6.5, 2.5], ""unit"": ""cm""}","[{""point"": [376, 252], ""label"": ""B""}]",,,,
"Given the 8 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),1A,Side,"{""label"": ""D"", ""mask_path"": ""masks/setup1_side_view_label_D_mask.png"", ""physical_xy_coordinates"": [9.0, 6.5], ""unit"": ""cm""}","[{""point"": [374, 467], ""label"": ""D""}]",,,,
"Given the 8 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),1B,Mid,"{""label"": ""D"", ""mask_path"": ""masks/setup1_mid_view_label_D_mask.png"", ""physical_xy_coordinates"": [9.0, 6.5], ""unit"": ""cm""}","[{""point"": [266, 758], ""label"": ""H""}]",,,,
"Given the 8 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),1C,Overhead,"{""label"": ""D"", ""mask_path"": ""masks/setup1_ovhd_view_label_D_mask.png"", ""physical_xy_coordinates"": [9.0, 6.5], ""unit"": ""cm""}","[{""point"": [491, 474], ""label"": ""the smallest peg (D)""}]",,,,
"Given that peg A is approximately 0.975cm wide and peg H is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width),1A,Side,15.00 cm,~22 - 25 cm,,,,
"Given that peg A is approximately 0.975cm wide and peg H is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width),1B,Mid,15.00 cm,~15.0 - 15.5 cm,,,,
"Given that peg A is approximately 0.975cm wide and peg H is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width),1C,Overhead,15.00 cm,~18.2 - 18.5 cm,,,,
"Given that peg A is approximately 0.975cm wide and 2.5cm tall, and peg H is approximately 0.2cm wide and 1.2cm tall, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width and height),1A,Side,15.00 cm,~14 cm,,,,
"Given that peg A is approximately 0.975cm wide and 2.5cm tall, and peg H is approximately 0.2cm wide and 1.2cm tall, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width and height),1B,Mid,15.00 cm,~19 - 21 cm,,,,
"Given that peg A is approximately 0.975cm wide and 2.5cm tall, and peg H is approximately 0.2cm wide and 1.2cm tall, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width and height),1C,Overhead,15.00 cm,~21 - 22 cm,,,,
"Given that peg F is 1cm tall and peg G is 1cm tall, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height),1B,Mid,5.00 cm,~10 cm,,,,
"Given that peg F is 1cm tall and peg G is 1cm tall, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height),1C,Overhead,5.00 cm,~14.56 cm,,,,
"Given that peg F is 1cm tall and peg G is 1cm tall, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height),1D,Far from camera,5.00 cm,~4 cm ,,,,
"Given that peg F is 1cm tall and 0.2cm wide, and peg G is 1cm tall and 0.2cm wide, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height and width),1B,Mid,5.00 cm,~6.6 cm ,,,,
"Given that peg F is 1cm tall and 0.2cm wide, and peg G is 1cm tall and 0.2cm wide, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height and width),1C,Overhead,5.00 cm,5 cm,,,Yes,
"Given that peg F is 1cm tall and 0.2cm wide, and peg G is 1cm tall and 0.2cm wide, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height and width),1D,Far from camera,5.00 cm,~4.7 cm ,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1A,Side,4.74 cm,~5.46 cm ,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1B,Mid,4.74 cm,5.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1C,Overhead,4.74 cm,4.5 cm,,,Very close,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1D,Far from camera,4.74 cm,2.75 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1A,Side,1.36 cm,1.0 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1B,Mid,1.36 cm,1.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1C,Overhead,1.36 cm,1.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1D,Far from camera,1.36 cm,1.25 cm,,,Very close,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1A,Side,2.5 cm,3.5 cm,,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1B,Mid,2.5 cm,3.2 cm,,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1C,Overhead,2.5 cm,4 cm,,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1D,Far from camera,2.5 cm,2.4 cm,,,Very close,
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1A,Side,5.70 cm,5.5 cm,,,Very close,Peg F view was blocked by peg B
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1B,Mid,5.70 cm,6.5 cm,,,,
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1C,Overhead,5.70 cm,7.5 cm,,,,
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1D,Far from camera,5.70 cm,6.25 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the pegs. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1A,Side,0.40 cm,0.4 cm,,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the peg. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1B,Mid,0.40 cm,0.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the peg. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1C,Overhead,0.40 cm,2 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the peg. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1D,Far from camera,0.40 cm,2 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1A,Side,6.00 cm,6.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1B,Mid,6.00 cm,7.0 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1C,Overhead,6.00 cm,6.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1D,Far from camera,6.00 cm,3.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1A,Side,9.39 cm,6.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1B,Mid,9.39 cm,10 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1C,Overhead,9.39 cm,12.8 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1D,Far from camera,9.39 cm,9 cm,,,,
"Given that peg D is approximately 0.585cm wide and peg E is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width),2A,Side,5.66 cm,4.25 cm,,,,
"Given that peg D is approximately 0.585cm wide and peg E is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width),2B,Mid,5.66 cm,6.2 cm,,,,
"Given that peg D is approximately 0.585cm wide and peg E is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width),2C,Overhead,5.66 cm,6.64 cm,,,,
"Given that peg D is approximately 0.585cm wide and 1.5cm tall, and peg E is approximately 0.2cm wide and 1cm tall, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width and height),2A,Side,5.66 cm,4.3 cm,,,,
"Given that peg D is approximately 0.585cm wide and 1.5cm tall, and peg E is approximately 0.2cm wide and 1cm tall, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width and height),2B,Mid,5.66 cm,4.6 cm,,,,
"Given that peg D is approximately 0.585cm wide and 1.5cm tall, and peg E is approximately 0.2cm wide and 1cm tall, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width and height),2C,Overhead,5.66 cm,5.8 cm,,,,
"Given that peg E is 1cm tall and peg A is 5cm tall, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height),2A,Side,14.36 cm,11.5 cm,,,,
"Given that peg E is 1cm tall and peg A is 5cm tall, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height),2B,Mid,14.36 cm,14.0 cm,,,,
"Given that peg E is 1cm tall and peg A is 5cm tall, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height),2C,Overhead,14.36 cm,17.5 cm,,,,
"Given that peg E is 1cm tall and 0.2cm wide, and peg A is 5cm tall and 2cm wide, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height and width),2A,Side,14.36 cm,10.3 cm,,,,
"Given that peg E is 1cm tall and 0.2cm wide, and peg A is 5cm tall and 2cm wide, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height and width),2B,Mid,14.36 cm,13.4 cm,,,,
"Given that peg E is 1cm tall and 0.2cm wide, and peg A is 5cm tall and 2cm wide, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height and width),2C,Overhead,14.36 cm,19.73 cm,,,,
"Given that peg B is 1.56cm wide, estimate the straight line distance in cm between peg B and peg E. Please provide a single numerical value (integer or float).",Distance Given Large Peg (linear distance),2A,Side,6.80 cm,6.5 cm,,,,
"Given that peg B is 1.56cm wide, estimate the straight line distance in cm between peg B and peg E. Please provide a single numerical value (integer or float).",Distance Given Large Peg (linear distance),2B,Mid,6.80 cm,17.5 cm,,,,
"Given that peg B is 1.56cm wide, estimate the straight line distance in cm between peg B and peg E. Please provide a single numerical value (integer or float).",Distance Given Large Peg (linear distance),2C,Overhead,6.80 cm,5.45 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg E and peg B. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),2A,Side,6.80 cm,7 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg E and peg B. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),2B,Mid,6.80 cm,5.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg E and peg B. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),2C,Overhead,6.80 cm,8.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 0.585cm wide, estimate the linear distance in cm between peg D and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),2A,Side,10.69 cm,7.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 0.585cm wide, estimate the linear distance in cm between peg D and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),2B,Mid,10.69 cm,9.6 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 0.585cm wide, estimate the linear distance in cm between peg D and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),2C,Overhead,10.69 cm,11.2 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 1.5cm tall, peg B is 4cm tall, estimate the straight-line distance in cm between their tops. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (between tops),2A,Side,10.98 cm,9.8 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 1.5cm tall, peg B is 4cm tall, estimate the straight-line distance in cm between their tops. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (between tops),2B,Mid,10.98 cm,11.7 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 1.5cm tall, peg B is 4cm tall, estimate the straight-line distance in cm between their tops. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (between tops),2C,Overhead,10.98 cm,14.4 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),2A,Side,0.58 cm,0.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),2B ,Mid ,0.58 cm,0.5 cm,,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),2C,Overhead ,0.58 cm,1.0 cm,,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),2A,Side,4 cm,4.4 cm,,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),2B,Mid,4 cm,4.5 cm,,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),2C,Overhead,4 cm,4.5 cm,,,,
Estimate the straight line distance in cm between peg A and peg D. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),2A,Side,15.04 cm,18 cm,,,,
Estimate the straight line distance in cm between peg A and peg D. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),2B,Mid,15.04 cm,18 cm,,,,
Estimate the straight line distance in cm between peg A and peg D. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),2C,Overhead,15.04 cm,16.5 cm,,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the largest peg by its label and give its approximate pixel coordinates.",Pointing Question (largest peg),2A,Side,"{""label"": ""A"", ""mask_path"": ""masks/setup2_side_view_label_A_mask.png"", ""physical_xy_coordinates"": [2.5, 1.5], ""unit"": ""cm""}","[{""point"": [544, 144], ""label"": ""A""}]",,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the largest peg by its label and give its approximate pixel coordinates.",Pointing Question (largest peg),2B,Mid,"{""label"": ""A"", ""mask_path"": ""masks/setup2_mid_view_label_A_mask.png"", ""physical_xy_coordinates"": [2.5, 1.5], ""unit"": ""cm""}","[{""point"": [483, 175], ""label"": ""A""}]",,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the largest peg by its label and give its approximate pixel coordinates.",Pointing Question (largest peg),2C,Overhead,"{""label"": ""A"", ""mask_path"": ""masks/setup2_ovhd_view_label_A_mask.png"", ""physical_xy_coordinates"": [2.5, 1.5], ""unit"": ""cm""}","[ {""point"": [168, 179], ""label"": ""A""}]",,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),2A,Side,"{""label"": ""E"", ""mask_path"": ""masks/setup2_side_view_label_E_mask.png"", ""physical_xy_coordinates"": [12.5, 11.0], ""unit"": ""cm""}","[{""point"": [297, 574], ""label"": ""the smallest peg (E)""}]",,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),2B,Mid,"{""label"": ""E"", ""mask_path"": ""masks/setup2_mid_view_label_E_mask.png"", ""physical_xy_coordinates"": [12.5, 11.0], ""unit"": ""cm""}","[{""point"": [351, 510], ""label"": ""the smallest peg's label (E)""}]",,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by giving its approximate pixel coordinates and the peg's label.",Pointing Question (smallest peg),2C,Overhead,"{""label"": ""E"", ""mask_path"": ""masks/setup2_ovhd_view_label_E_mask.png"", ""physical_xy_coordinates"": [12.5, 11.0], ""unit"": ""cm""}","[{""point"": [599, 715], ""label"": ""E""}]",,,,
