Question,Type,Image,Camera View,Ground Truth,Response,Residual Error,Point on Mask?,Correct ?,Notes
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 3cm tall, peg D is 1cm tall, estimate the straight-line distance in cm between their tops. Explain which of the references you used as your scale and why.",Distance Given Mix Dimensions (between tops),1C,Overhead,5.68 cm,~7.48 cm,-1.8,,No,
"Given that these pegboard holes are spaced 0.5cm apart, the gripper's fingers are 8cm apart when open, estimate the distance in cm between peg C and peg D.",Distance Given Mix Dimensions (with gripper dist),1D,Far from camera,5.32 cm,~5.15 cm,0.17,,Very close,"Interestingly close, given how far the distance from the camera is"
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg C.",Distance Given Mix Dimensions (spacing -> width),1A,Side,1.17 cm ,~0.8 - 1.1 cm ,0.22,,Very close,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D.",Distance Given Mix Dimensions (spacing -> width),1A,Side,0.20 cm, 0.25 - 0.4 cm,-0.12,,Close,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg C .",Distance Given Mix Dimensions (spacing -> width),1B,Mid,1.17 cm ,~ 1.0 - 1.25 cm  ,0.04,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D.",Distance Given Mix Dimensions (spacing -> width),1B,Mid,0.20 cm,~0.5 cm,-0.3,,No,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg C.",Distance Given Mix Dimensions (spacing -> width),1C,Overhead,1.17 cm ,~1.5 cm,-0.33,,Close,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D.",Distance Given Mix Dimensions (spacing -> width),1C,Overhead,0.20 cm,~0.5 cm,-0.3,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg C.",Distance Given Mix Dimensions (depth -> height),1A,Side,3 cm,~3.4 cm,-0.4,,Very close,
"Given that the board is 0.4cm tall, estimate the height in cm of peg D.",Distance Given Mix Dimensions (depth -> height),1A,Side,1 cm,~1.3 cm,-0.3,,Very close,
"Given that the board is 0.4cm tall, estimate the height in cm of peg C.",Distance Given Mix Dimensions (depth -> height),1B,Mid,3 cm,~5.0 cm,-2.0,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg D.",Distance Given Mix Dimensions (depth -> height),1B,Mid,1 cm,~2.2 cm,-1.2,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg C.",Distance Given Mix Dimensions (depth -> height),1C,Overhead,3 cm,~4.0 cm,-1.0,,No,
"Given that the board is 0.4cm tall, estimate the height in cm of peg D.",Distance Given Mix Dimensions (depth -> height),1C,Overhead,1 cm,~0.8 cm,0.2,,No,
Estimate the straight line distance in cm between peg H and peg E.,Distance Given No Clue (linear distance),1A,Side,16.56 cm,~12 - 15 cm  ,3.06,,Very close,
Estimate the straight line distance in cm between peg H and peg E.,Distance Given No Clue (linear distance),1B,Mid,16.56 cm,~15 - 17 cm,0.56,,Yes,
Estimate the straight line distance in cm between peg H and peg E.,Distance Given No Clue (linear distance),1C,Overhead,16.56 cm,~17 - 19 cm,-1.44,,Very close,
Estimate the straight line distance in cm between the tops of peg H and peg E.,Distance Given No Clue (between tops),1A,Side,16.58 cm,~12 - 15 cm  ,3.08,,Very close,
Estimate the straight line distance in cm between the tops of peg H and peg E.,Distance Given No Clue (between tops),1B,Mid,16.58 cm,~15 - 18 cm,0.08,,Yes,
Estimate the straight line distance in cm between the tops of peg H and peg E.,Distance Given No Clue (between tops),1C,Overhead,16.58 cm,~18 - 22 cm,-3.42,,No,
"Given that these pegboard holes are spaced 0.5cm apart, point to the largest peg and give its approximate pixel coordinates.",Pointing Question (largest peg),1A,Side,"{""label"": ""B"", ""mask_path"": ""masks/setup1_side_view_label_B_mask.png"", ""physical_xy_coordinates"": [6.5, 2.5], ""unit"": ""cm""}","[{""point"": [369, 457], ""label"": ""B""}]",,False,,
"Given that these pegboard holes are spaced 0.5cm apart, point to the largest peg and give its approximate pixel coordinates.",Pointing Question (largest peg),1B,Mid,"{""label"": ""B"", ""mask_path"": ""masks/setup1_mid_view_label_B_mask.png"", ""physical_xy_coordinates"": [6.5, 2.5], ""unit"": ""cm""}","[{""point"": [468, 381], ""label"": ""B""}]",,True,,
"Given that these pegboard holes are spaced 0.5cm apart, point to the largest peg and give its approximate pixel coordinates.",Pointing Question (largest peg),1C,Overhead,"{""label"": ""B"", ""mask_path"": ""masks/setup1_ovhd_view_label_B_mask.png"", ""physical_xy_coordinates"": [6.5, 2.5], ""unit"": ""cm""}","[{""point"": [376, 252], ""label"": ""B""}]",,True,,
"Given the 8 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),1A,Side,"{""label"": ""D"", ""mask_path"": ""masks/setup1_side_view_label_D_mask.png"", ""physical_xy_coordinates"": [9.0, 6.5], ""unit"": ""cm""}","[{""point"": [374, 467], ""label"": ""D""}]",,True,,
"Given the 8 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),1B,Mid,"{""label"": ""D"", ""mask_path"": ""masks/setup1_mid_view_label_D_mask.png"", ""physical_xy_coordinates"": [9.0, 6.5], ""unit"": ""cm""}","[{""point"": [266, 758], ""label"": ""H""}]",,False,,
"Given the 8 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),1C,Overhead,"{""label"": ""D"", ""mask_path"": ""masks/setup1_ovhd_view_label_D_mask.png"", ""physical_xy_coordinates"": [9.0, 6.5], ""unit"": ""cm""}","[{""point"": [491, 474], ""label"": ""the smallest peg (D)""}]",,True,,
"Given that peg A is approximately 0.975cm wide and peg H is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width),1A,Side,15.00 cm,~22 - 25 cm,-8.5,,,
"Given that peg A is approximately 0.975cm wide and peg H is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width),1B,Mid,15.00 cm,~15.0 - 15.5 cm,-0.25,,,
"Given that peg A is approximately 0.975cm wide and peg H is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width),1C,Overhead,15.00 cm,~18.2 - 18.5 cm,-3.35,,,
"Given that peg A is approximately 0.975cm wide and 2.5cm tall, and peg H is approximately 0.2cm wide and 1.2cm tall, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width and height),1A,Side,15.00 cm,~14 cm,1.0,,,
"Given that peg A is approximately 0.975cm wide and 2.5cm tall, and peg H is approximately 0.2cm wide and 1.2cm tall, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width and height),1B,Mid,15.00 cm,~19 - 21 cm,-5.0,,,
"Given that peg A is approximately 0.975cm wide and 2.5cm tall, and peg H is approximately 0.2cm wide and 1.2cm tall, estimate the distance in cm between the centers of the two pegs.",Distance Between Centers (given width and height),1C,Overhead,15.00 cm,~21 - 22 cm,-6.5,,,
"Given that peg F is 1cm tall and peg G is 1cm tall, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height),1B,Mid,5.00 cm,~10 cm,-5.0,,,
"Given that peg F is 1cm tall and peg G is 1cm tall, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height),1C,Overhead,5.00 cm,~14.56 cm,-9.56,,,
"Given that peg F is 1cm tall and peg G is 1cm tall, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height),1D,Far from camera,5.00 cm,~4 cm ,1.0,,,
"Given that peg F is 1cm tall and 0.2cm wide, and peg G is 1cm tall and 0.2cm wide, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height and width),1B,Mid,5.00 cm,~6.6 cm ,-1.6,,,
"Given that peg F is 1cm tall and 0.2cm wide, and peg G is 1cm tall and 0.2cm wide, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height and width),1C,Overhead,5.00 cm,5 cm,0.0,,Yes,
"Given that peg F is 1cm tall and 0.2cm wide, and peg G is 1cm tall and 0.2cm wide, estimate the distance in cm between the top of peg F and the top of peg G. Please provide a single numerical value.",Distance Between Tops (given height and width),1D,Far from camera,5.00 cm,~4.7 cm ,0.3,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1A,Side,4.74 cm,~5.46 cm ,-0.72,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1B,Mid,4.74 cm,5.5 cm,-0.76,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1C,Overhead,4.74 cm,4.5 cm,0.24,,Very close,
"Given that these pegboard holes are spaced 0.5cm apart, peg B is 1.365cm wide, estimate the linear distance in cm between peg B and peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),1D,Far from camera,4.74 cm,2.75 cm,1.99,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1A,Side,1.36 cm,1.0 cm,0.36,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1B,Mid,1.36 cm,1.5 cm,-0.14,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1C,Overhead,1.36 cm,1.5 cm,-0.14,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg B . Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),1D,Far from camera,1.36 cm,1.25 cm,0.11,,Very close,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1A,Side,2.5 cm,3.5 cm,-1.0,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1B,Mid,2.5 cm,3.2 cm,-0.7,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1C,Overhead,2.5 cm,4 cm,-1.5,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg A. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),1D,Far from camera,2.5 cm,2.4 cm,0.1,,Very close,
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1A,Side,5.70 cm,5.5 cm,0.2,,Very close,Peg F view was blocked by peg B
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1B,Mid,5.70 cm,6.5 cm,-0.8,,,
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1C,Overhead,5.70 cm,7.5 cm,-1.8,,,
Estimate the straight line distance in cm between peg D and peg F. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),1D,Far from camera,5.70 cm,6.25 cm,-0.55,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the pegs. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1A,Side,0.40 cm,0.4 cm,0.0,,Yes,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the peg. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1B,Mid,0.40 cm,0.5 cm,-0.1,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the peg. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1C,Overhead,0.40 cm,2 cm,-1.6,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the vertical distance in cm between the bases of the board and the peg. Explain which of the references you used as your scale and why. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (vertical distance),1D,Far from camera,0.40 cm,2 cm,-1.6,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1A,Side,6.00 cm,6.5 cm,-0.5,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1B,Mid,6.00 cm,7.0 cm,-1.0,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1C,Overhead,6.00 cm,6.5 cm,-0.5,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg C is 1.17cm wide, estimate the linear distance in cm between peg C and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> distance),1D,Far from camera,6.00 cm,3.5 cm,2.5,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1A,Side,9.39 cm,6.5 cm,2.89,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1B,Mid,9.39 cm,10 cm,-0.61,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1C,Overhead,9.39 cm,12.8 cm,-3.41,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg B and peg G. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),1D,Far from camera,9.39 cm,9 cm,0.39,,,
"Given that peg D is approximately 0.585cm wide and peg E is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width),2A,Side,5.66 cm,4.25 cm,1.41,,,
"Given that peg D is approximately 0.585cm wide and peg E is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width),2B,Mid,5.66 cm,6.2 cm,-0.54,,,
"Given that peg D is approximately 0.585cm wide and peg E is approximately 0.2cm wide, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width),2C,Overhead,5.66 cm,6.64 cm,-0.98,,,
"Given that peg D is approximately 0.585cm wide and 1.5cm tall, and peg E is approximately 0.2cm wide and 1cm tall, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width and height),2A,Side,5.66 cm,4.3 cm,1.36,,,
"Given that peg D is approximately 0.585cm wide and 1.5cm tall, and peg E is approximately 0.2cm wide and 1cm tall, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width and height),2B,Mid,5.66 cm,4.6 cm,1.06,,,
"Given that peg D is approximately 0.585cm wide and 1.5cm tall, and peg E is approximately 0.2cm wide and 1cm tall, estimate the distance in cm between the centers of the two pegs. Please provide a single numerical value (integer or float).",Distance Between Centers (given width and height),2C,Overhead,5.66 cm,5.8 cm,-0.14,,,
"Given that peg E is 1cm tall and peg A is 5cm tall, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height),2A,Side,14.36 cm,11.5 cm,2.86,,,
"Given that peg E is 1cm tall and peg A is 5cm tall, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height),2B,Mid,14.36 cm,14.0 cm,0.36,,,
"Given that peg E is 1cm tall and peg A is 5cm tall, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height),2C,Overhead,14.36 cm,17.5 cm,-3.14,,,
"Given that peg E is 1cm tall and 0.2cm wide, and peg A is 5cm tall and 2cm wide, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height and width),2A,Side,14.36 cm,10.3 cm,4.06,,,
"Given that peg E is 1cm tall and 0.2cm wide, and peg A is 5cm tall and 2cm wide, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height and width),2B,Mid,14.36 cm,13.4 cm,0.96,,,
"Given that peg E is 1cm tall and 0.2cm wide, and peg A is 5cm tall and 2cm wide, estimate the distance in cm between the top of peg E and the top of peg A. Please provide a single numerical value (integer or float).",Distance Between Tops (given height and width),2C,Overhead,14.36 cm,19.73 cm,-5.37,,,
"Given that peg B is 1.56cm wide, estimate the straight line distance in cm between peg B and peg E. Please provide a single numerical value (integer or float).",Distance Given Large Peg (linear distance),2A,Side,6.80 cm,6.5 cm,0.3,,,
"Given that peg B is 1.56cm wide, estimate the straight line distance in cm between peg B and peg E. Please provide a single numerical value (integer or float).",Distance Given Large Peg (linear distance),2B,Mid,6.80 cm,17.5 cm,-10.7,,,
"Given that peg B is 1.56cm wide, estimate the straight line distance in cm between peg B and peg E. Please provide a single numerical value (integer or float).",Distance Given Large Peg (linear distance),2C,Overhead,6.80 cm,5.45 cm,1.35,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg E and peg B. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),2A,Side,6.80 cm,7 cm,-0.2,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg E and peg B. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),2B,Mid,6.80 cm,5.5 cm,1.3,,,
"Given that these pegboard holes are spaced 0.5cm apart from one another, estimate the distance in cm between peg E and peg B. Please provide a single numerical value (integer or float).",Distance Given Board Spacing (linear distance),2C,Overhead,6.80 cm,8.5 cm,-1.7,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 0.585cm wide, estimate the linear distance in cm between peg D and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),2A,Side,10.69 cm,7.5 cm,3.19,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 0.585cm wide, estimate the linear distance in cm between peg D and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),2B,Mid,10.69 cm,9.6 cm,1.09,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 0.585cm wide, estimate the linear distance in cm between peg D and peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (linear distance),2C,Overhead,10.69 cm,11.2 cm,-0.51,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 1.5cm tall, peg B is 4cm tall, estimate the straight-line distance in cm between their tops. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (between tops),2A,Side,10.98 cm,9.8 cm,1.18,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 1.5cm tall, peg B is 4cm tall, estimate the straight-line distance in cm between their tops. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (between tops),2B,Mid,10.98 cm,11.7 cm,-0.72,,,
"Given that these pegboard holes are spaced 0.5cm apart, peg D is 1.5cm tall, peg B is 4cm tall, estimate the straight-line distance in cm between their tops. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (between tops),2C,Overhead,10.98 cm,14.4 cm,-3.42,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),2A,Side,0.58 cm,0.5 cm,0.08,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),2B ,Mid ,0.58 cm,0.5 cm,0.08,,,
"Given that these pegboard holes are spaced 0.5cm apart, estimate the width in cm of peg D. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (spacing -> width),2C,Overhead ,0.58 cm,1.0 cm,-0.42,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),2A,Side,4 cm,4.4 cm,-0.4,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),2B,Mid,4 cm,4.5 cm,-0.5,,,
"Given that the board is 0.4cm tall, estimate the height in cm of peg B. Please provide a single numerical value (integer or float).",Distance Given Mix Dimensions (depth -> height),2C,Overhead,4 cm,4.5 cm,-0.5,,,
Estimate the straight line distance in cm between peg A and peg D. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),2A,Side,15.04 cm,18 cm,-2.96,,,
Estimate the straight line distance in cm between peg A and peg D. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),2B,Mid,15.04 cm,18 cm,-2.96,,,
Estimate the straight line distance in cm between peg A and peg D. Please provide a single numerical value (integer or float).,Distance Given No Clue (linear distance),2C,Overhead,15.04 cm,16.5 cm,-1.46,,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the largest peg by its label and give its approximate pixel coordinates.",Pointing Question (largest peg),2A,Side,"{""label"": ""A"", ""mask_path"": ""masks/setup2_side_view_label_A_mask.png"", ""physical_xy_coordinates"": [2.5, 1.5], ""unit"": ""cm""}","[{""point"": [544, 144], ""label"": ""A""}]",,False,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the largest peg by its label and give its approximate pixel coordinates.",Pointing Question (largest peg),2B,Mid,"{""label"": ""A"", ""mask_path"": ""masks/setup2_mid_view_label_A_mask.png"", ""physical_xy_coordinates"": [2.5, 1.5], ""unit"": ""cm""}","[{""point"": [483, 175], ""label"": ""A""}]",,True,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the largest peg by its label and give its approximate pixel coordinates.",Pointing Question (largest peg),2C,Overhead,"{""label"": ""A"", ""mask_path"": ""masks/setup2_ovhd_view_label_A_mask.png"", ""physical_xy_coordinates"": [2.5, 1.5], ""unit"": ""cm""}","[ {""point"": [168, 179], ""label"": ""A""}]",,True,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),2A,Side,"{""label"": ""E"", ""mask_path"": ""masks/setup2_side_view_label_E_mask.png"", ""physical_xy_coordinates"": [12.5, 11.0], ""unit"": ""cm""}","[{""point"": [297, 574], ""label"": ""the smallest peg (E)""}]",,True,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by its label and give its approximate pixel coordinates.",Pointing Question (smallest peg),2B,Mid,"{""label"": ""E"", ""mask_path"": ""masks/setup2_mid_view_label_E_mask.png"", ""physical_xy_coordinates"": [12.5, 11.0], ""unit"": ""cm""}","[{""point"": [351, 510], ""label"": ""the smallest peg's label (E)""}]",,False,,
"Given the 5 pegs on the board, the pegboard holes spaced 0.5cm apart, point to the smallest peg by giving its approximate pixel coordinates and the peg's label.",Pointing Question (smallest peg),2C,Overhead,"{""label"": ""E"", ""mask_path"": ""masks/setup2_ovhd_view_label_E_mask.png"", ""physical_xy_coordinates"": [12.5, 11.0], ""unit"": ""cm""}","[{""point"": [599, 715], ""label"": ""E""}]",,True,,
